Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017)/Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017),5,2892.76,no,,5.57
Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023)/Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023),1,0,no,,2.7
Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023)/Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023),2,6360.16,no,,4.86
Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023)/Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023),3,541.46,no,,2.8
Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023)/Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023),4,5764.14,no,,3.55
Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023)/Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023),5,2595.59,no,,4.0
Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016)/Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016),1,0,no,,1.67
Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016)/Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016),2,1556.43,no,,4.36
Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016)/Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016),3,1421.89,no,,4.49
Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016)/Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016),4,1648.86,no,,4.55
Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016)/Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hacksaw Ridge (2016),5,2530.49,no,,2.91
Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020)/Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020),1,0,no,,2.8
Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020)/Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020),2,2409.83,no,,3.58
Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020)/Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020),3,2771.39,no,,3.45
Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020)/Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020),4,191.72,no,,3.91
Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020)/Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Hamilton (2020),5,9308.62,no,,1.18
Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010)/Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010),1,0,no,,4.27
Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010)/Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010),2,1878.95,no,,3.91
Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010)/Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010),3,7344.3,no,,2.73
Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010)/Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010),4,2098.45,no,,3.21
Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010)/Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010),5,339.94,no,,3.24
Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011)/Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011),1,0,no,,2.2
Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011)/Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011),2,6160.04,no,,4.95
Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011)/Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011),3,5728.64,no,,3.27
Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011)/Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011),4,7336.29,no,,2.88
Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011)/Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011),5,766.5,no,,4.85
Harry Potter and the Goblet of Fire (2005) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Goblet of Fire (2005)/Harry Potter and the Goblet of Fire (2005) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Goblet of Fire (2005),1,0,no,,1.41
Harry Potter and the Goblet of Fire (2005) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Goblet of Fire (2005)/Harry Potter and the Goblet of Fire (2005) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Goblet of Fire (2005),2,2422.7,no,,4.49
Harry Potter and the Goblet of Fire (2005) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Goblet of Fire (2005)/Harry Potter and the Goblet of Fire (2005) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Harry Potter and the Goblet of Fire (2005),3,6215.45,no,,4.59
