Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
71° North - Team - S01E08 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E08 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.2
71° North - Team - S01E08 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E08 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,262.7,no,,2.34
71° North - Team - S01E09 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E09 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.61
71° North - Team - S01E09 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E09 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,1596.22,no,,1.98
71° North - Team - S01E10 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E10 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,0.97
71° North - Team - S01E10 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E10 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,1360.21,no,,1.11
71° North - Team - S01E11 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E11 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.17
71° North - Team - S01E11 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E11 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,1756.35,no,,1.62
71° North - Team - S01E12 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E12 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,2.14
71° North - Team - S01E12 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E12 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,367.34,no,,1.81
71° North - Team - S01E13 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E13 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,0.79
71° North - Team - S01E13 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E13 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,1000.82,no,,1.98
71° North - Team - S01E14 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E14 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,0.86
71° North - Team - S01E14 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E14 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,2,642.05,no,,1.43
71° North - Team - S01E15 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1/71° North - Team - S01E15 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/71° North - Team/Season 1,1,0,no,,1.22
